sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
205,0.0014846658,0.00022826054,0.03070197,0.010470059,10.966936,19.098915,8.131979,10.978116,19.050177,8.072061
206,0.0005202433,0.00024151671,0.0182067,0.008657669,7.8291597,11.161753,3.332593,7.8116417,10.8162775,3.0046358
207,0.0008500512,0.0002948522,0.023331318,0.01183298,10.118906,14.717313,4.598407,10.139053,14.57011,4.431057
208,0.0045174197,0.0011154418,0.053740278,0.02267143,7.9626236,14.03706,6.074436,7.9462347,13.876463,5.930228
209,0.0003796541,6.9886344e-05,0.015517893,0.005444582,8.82815,16.178108,7.3499584,8.815723,16.074102,7.258379
210,0.0010340154,0.00024808754,0.025660576,0.009498848,7.118702,13.317923,6.1992207,7.193871,13.114661,5.92079
211,0.0005789059,0.0016470135,0.019238694,0.018447008,8.868622,4.3277307,-4.540891,8.871828,2.3240585,-6.5477695
212,0.00048227693,0.00035557998,0.017516514,0.012830136,9.019712,10.343304,1.3235912,8.994953,9.919129,0.9241762
213,0.00034281856,0.0027375384,0.014782784,0.024119198,13.220529,4.197569,-9.02296,13.2059965,2.124322,-11.081675
214,0.0007874813,0.00031621836,0.022348626,0.011225272,14.359156,18.321688,3.962532,14.37682,18.308453,3.931633
215,0.0011619193,0.00014575607,0.02716613,0.008080599,7.6658273,16.68132,9.015493,7.6710453,16.59442,8.923374
216,0.0010887046,0.00023274477,0.026289178,0.010711582,9.774211,16.474512,6.700301,9.749081,16.378002,6.6289215
217,0.0007885671,0.0002093707,0.022288429,0.008685167,12.213326,17.972555,5.7592287,12.227931,17.907413,5.6794825
218,0.0009870324,0.0002023046,0.025137708,0.009227107,9.335319,16.218575,6.883256,9.346129,16.115524,6.769395
219,0.000909706,0.00014908411,0.024026595,0.0070637767,10.862392,18.71709,7.854698,10.864172,18.731573,7.867401
